排名,工具名稱,每月訪問量,增長,增長率,標籤
1,ChatGPT,2.6B,196.6M,8.1%,"Large Language Models (LLMs), AI Chatbot"
2,Character.ai,200.8M,-14.5M,-6.7%,"AI Chatbot, AI Character"
3,DeepL,200M,-8.6M,-4.1%,Translate
4,Claude AI,69.5M,-3.4M,-4.7%,"AI Chatbot, Large Language Models (LLMs)"
5,QuillBot,63M,5.3M,9.3%,"AI Paraphraser, Summarizer, Writing Assistants"
6,Grammarly,62.2M,4.1M,7.0%,AI Grammar Checker
7,Quizlet,61.3M,2.2M,3.8%,"Homework Helper, AI Education Assistant, AI Quizzes"
8,Perplexity AI,57.8M,6.6M,12.8%,AI Search Engine
9,SUNO V4,56.2M,-5M,-8.2%,"AI Music Generator, Text to Music, AI Singing Generator"
10,AutoResponder.ai,47.8M,1.4M,3.1%,"AI Reply Assistant, AI Chatbot"
11,Janitor AI,45.8M,4.5M,11.0%,"AI Chatbot, AI Character"
12,AI PDF Summarizer,45.6M,474.1K,1.1%,"AI PDF, Summarizer, AI Productivity Tools"
13,HubSpot,42M,-838.4K,-2.0%,"AI CRM Assistant, AI Customer Service Assistant"
14,CapCut,40.4M,-1.1M,-2.6%,"AI Video Editing, Text to Speech"
15,Poe,27.8M,-968.2K,-3.4%,"AI Chatbot, Multi-purpose Tools"
16,Miro,27.5M,-583.8K,-2.1%,"AI Team Collaboration, Workflow & SOP Management"
17,SpicyChat,25.3M,3.7M,17.3%,"AI Chatbot, NSFW, AI Character"
18,Kimi Chat,22.8M,-1.2M,-5.0%,"AI Chatbot, Large Language Models (LLMs)"
19,LINER,22M,2.3M,11.9%,AI Productivity Tools
20,Beacons,19.8M,-695.2K,-3.4%,"AI Social Media Assistant, AI Content Detector"
21,Luma AI Dream Machine 1.6: Luma Photon,19.2M,-3.4M,-14.9%,"Text to Video, AI Video Generator"
22,Chatbond - AI Chatbot Builder,19M,11.8M,163.2%,"AI Chatbot, AI Customer Service Assistant, AI Knowledge Management"
23,Kolors Virtual Try On,18.2M,1.1M,6.4%,"AI Clothing Designer, AI Art &Design Creator"
24,Hugging Face,18.2M,1.1M,6.4%,"Large Language Models (LLMs), Multi-purpose Tools"
25,Course Hero,17.6M,1.2M,7.5%,"AI Education Assistant, Homework Helper"
26,Wordware,15.7M,15.1M,New,"AI Code Assistant, No-Code & Low-Code"
27,Fotor,15.4M,351.4K,2.3%,"Photo & Image Editor, AI Graphic Design"
28,Twitter Personality - AI Agent by Wordware,15.1M,14.6M,New,Large Language Models (LLMs)
29,Kling AI 1.6 - Global,14.9M,12.7M,591.5%,"AI Video Generator, AI Video Editing"
30,ElevenLabs GenFM,14.6M,-168.8K,-1.1%,"AI Voice Cloning, Text to Speech"
31,Photopea,14.3M,51.2K,0.4%,Photo & Image Editor
32,Leonardo.ai,14.2M,1.5M,11.8%,"AI Art &Design Creator, AI 3D Model Generator"
33,Civitai,14.1M,1.3M,9.9%,AI Art &Design Creator
34,BRAINLY,13.6M,163.5K,1.2%,"Homework Helper, AI Education Assistant, AI Knowledge Management"
35,Cutout.Pro,13.1M,-537.5K,-4.0%,"AI Background Remover, AI Photo Restoration"
36,PIXLR,13M,103K,0.8%,"Photo & Image Editor, AI Photo & Image Generator, AI Graphic Design"
37,PhotoRoom,12.8M,595K,4.9%,"AI Photo & Image Generator, AI Background Remover"
38,Mailchimp,12.4M,-77.3K,-0.6%,AI Email Marketing
39,VEED,12.3M,200.1K,1.7%,"AI Video Editing, AI Video Enhancing, AI Video Recording"
40,CrushOn.AI,11.9M,476K,4.2%,"NSFW, AI Character"
41,Candy.ai,11.7M,-554.7K,-4.5%,"AI Girlfriend, AI Character"
42,Doubao PixelDance,10.8M,1.9M,21.2%,"AI Chatbot, Writing Assistants, AI Voice Assistants"
43,DeepAI,10.7M,317.9K,3.1%,"AI Art &Design Creator, AI Video Generator"
44,Perchance AI,10.7M,996.2K,10.3%,"Text to Image, AI Story Writing"
45,Ideogram Canvas,10.6M,1.2M,13.0%,"Text to Image, AI Graphic Design"
46,Deep Nostalgia,10.4M,-599.7K,-5.4%,"AI Photo & Image Generator, AI Video Generator"
47,Gamma,10.3M,1.4M,16.2%,AI Presentation Generator
48,Vidnoz,10M,1.9M,23.9%,"AI Video Generator, Text to Speech, AI Avatar Generator"
49,Gauthmath,10M,3.9M,64.5%,"Homework Helper, AI Education Assistant"
50,123RF,9.9M,-110.4K,-1.1%,"Photo & Image Editor, AI Graphic Design"
