排名,工具名稱,每月訪問量,增長,增長率,標籤
1,AI Clips - New Gen,30.3B,1.8B,6.2%,"AI Short Clips Generator, AI Video Editing"
2,ChatGPT,3.7B,-101M,-2.7%,"Large Language Models (LLMs), AI Chatbot"
3,Open AI o3,556.2M,9.6M,1.8%,"Large Language Models (LLMs), Research Tools"
4,Gemini - Google Vids AI,261.5M,-13.4M,-4.9%,"Large Language Models (LLMs), AI Chatbot"
5,Character.ai,201.8M,15.6M,8.4%,"AI Chatbot, AI Character"
6,DeepL,191.3M,-16.5M,-7.9%,Translate
7,Perplexity AI,93.5M,-9.9M,-9.6%,AI Search Engine
8,Janitor AI,88.4M,17.3M,24.3%,"AI Chatbot, AI Character"
9,Quizlet,85.9M,-15M,-14.9%,"Homework Helper, AI Education Assistant, AI Quizzes"
10,Claude AI,73.8M,-13.8M,-15.7%,"AI Chatbot, Large Language Models (LLMs)"
11,Remove Image Background,70.1M,-269.9K,-0.4%,"AI Background Remover, Photo & Image Editor, AI Photo Restoration"
12,QuillBot,60.3M,-17.2M,-22.2%,"AI Paraphraser, Summarizer, Writing Assistants"
13,Zoho Cliq,59.8M,-605.1K,-1.0%,"AI Team Collaboration, AI Meeting Assistant, AI Files Assistant"
14,Grammarly,53.9M,-8M,-13.0%,AI Grammar Checker
15,SUNO V4,52.3M,1.1M,2.1%,"AI Music Generator, Text to Music, AI Singing Generator"
16,AI PDF Summarizer,45.1M,-2M,-4.3%,"AI PDF, Summarizer, AI Productivity Tools"
17,CapCut,38.8M,-1.1M,-2.8%,"AI Video Editing, Text to Speech"
18,Kimi Chat,37.6M,5.5M,17.0%,"AI Chatbot, Large Language Models (LLMs)"
19,SpicyChat,36.3M,4.4M,13.8%,"AI Chatbot, NSFW, AI Character"
20,HubSpot,32.7M,-3.5M,-9.8%,"AI CRM Assistant, AI Customer Service Assistant"
21,AutoResponder.ai,31.4M,-16.3M,-34.1%,"AI Reply Assistant, AI Chatbot"
22,Doubao PixelDance,31.3M,10.2M,48.3%,"AI Chatbot, Writing Assistants, AI Voice Assistants"
23,Outlier,29.7M,6M,25.4%,"Large Language Models (LLMs), AI Developer Tools"
24,Poe,28.1M,-3.7M,-11.5%,"AI Chatbot, Multi-purpose Tools"
25,OpenAI o1 in the API,27.8M,-4.9M,-15.0%,"Large Language Models (LLMs), AI Code Assistant"
26,Hailuo AI Video Generator,26.7M,10.7M,67.1%,"AI Video Generator, Text to Video, AI Short Clips Generator"
27,Miro,24.5M,-6.3M,-20.4%,"AI Team Collaboration, Workflow & SOP Management"
28,Vecteezy Background Remover,22.9M,2.7M,13.4%,"AI Background Remover, Photo & Image Editor"
29,LINER,22M,-2.2M,-9.3%,AI Productivity Tools
30,Beacons,22M,563.8K,2.6%,"AI Social Media Assistant, AI Content Detector"
31,Sora - Sora Turbo,21.2M,21.2M,New,"AI Video Generator, Text to Video"
32,BLACKBOX AI,19M,2.7M,16.3%,"AI Code Assistant, AI Code Generator"
33,Gamma,18.1M,-2.9M,-13.9%,AI Presentation Generator
34,CrushOn.AI,16.4M,1.8M,12.5%,"NSFW, AI Character"
35,Civitai,16.2M,693.8K,4.5%,AI Art &Design Creator
36,DeepAI,16.1M,632.8K,4.1%,"AI Art &Design Creator, AI Video Generator"
37,Fotor,15.9M,976.2K,6.5%,"Photo & Image Editor, AI Graphic Design"
38,ZeroGPT,15.5M,-3.4M,-17.9%,"AI Detector, AI Grammar Checker, AI Email Writer"
39,Turnitin,15M,-4M,-21.0%,"AI Plagiarism Detector, AI Essay Checker, AI Education Assistant"
40,Seaart.ai,14.3M,2.7M,23.4%,"AI Art &Design Creator, Text to Image"
41,Grass,14.2M,-3.6M,-20.3%,"AI Web Scraper, AI Data Mining"
42,Cutout.Pro,14.2M,1.2K,0.0%,"AI Background Remover, AI Photo Restoration"
43,BRAINLY,14.1M,-3.8M,-21.4%,"Homework Helper, AI Education Assistant, AI Knowledge Management"
44,Leonardo.ai,14.1M,-424,0.0%,"AI Art &Design Creator, AI 3D Model Generator"
45,Photopea,14M,180K,1.3%,Photo & Image Editor
46,Gauthmath,13.4M,-2.8M,-17.3%,"Homework Helper, AI Education Assistant"
47,PhotoRoom,13.3M,-50.5K,-0.4%,"AI Photo & Image Generator, AI Background Remover"
48,PIXLR,13.2M,197.7K,1.5%,"Photo & Image Editor, AI Photo & Image Generator, AI Graphic Design"
