排名,工具名稱,每月訪問量,增長,增長率,標籤
1,ChatGPT,2.4B,-423.4M,-14.8%,"Large Language Models (LLMs), AI Chatbot"
2,Character.ai,215.2M,4M,1.9%,"AI Chatbot, AI Character"
3,DeepL,208.6M,-47.5M,-18.5%,Translate
4,Claude AI,72.9M,7.9M,12.1%,"AI Chatbot, Large Language Models (LLMs)"
5,SUNO V4,61.3M,2.3M,3.9%,"AI Music Generator, Text to Music, AI Singing Generator"
6,Quizlet,59.1M,-18.4M,-23.8%,"Homework Helper, AI Education Assistant, AI Quizzes"
7,Grammarly,58.1M,496.6K,0.9%,AI Grammar Checker
8,QuillBot,57.7M,-7.3M,-11.3%,"AI Paraphraser, Summarizer, Writing Assistants"
9,Perplexity AI,51.3M,-29.1M,-36.2%,AI Search Engine
10,AutoResponder.ai,46.4M,44.1M,New,"AI Reply Assistant, AI Chatbot"
11,HubSpot,42.8M,3.4M,8.7%,"AI CRM Assistant, AI Customer Service Assistant"
12,CapCut,41.5M,1.3M,3.3%,"AI Video Editing, Text to Speech"
13,Janitor AI,41.3M,-20.4M,-33.1%,"AI Chatbot, AI Character"
14,Poe,28.7M,-15.1M,-34.4%,"AI Chatbot, Multi-purpose Tools"
15,Miro,28.1M,-767K,-2.7%,"AI Team Collaboration, Workflow & SOP Management"
16,Kimi Chat,24.1M,1.3M,5.7%,"AI Chatbot, Large Language Models (LLMs)"
17,Luma AI Dream Machine 1.6: Luma Photon,22.6M,4M,21.3%,"Text to Video, AI Video Generator"
18,SpicyChat,21.5M,-2.5M,-10.6%,"AI Chatbot, NSFW, AI Character"
19,Beacons,20.5M,-2.2M,-9.7%,"AI Social Media Assistant, AI Content Detector"
20,LINER,19.7M,-12.8M,-39.4%,AI Productivity Tools
21,Kolors Virtual Try On,17.1M,-4.1M,-19.5%,"AI Clothing Designer, AI Art &Design Creator"
22,Hugging Face,17.1M,-4.1M,-19.5%,"Large Language Models (LLMs), Multi-purpose Tools"
23,Course Hero,16.3M,-963.6K,-5.6%,"AI Education Assistant, Homework Helper"
24,Fotor,15M,803.4K,5.7%,"Photo & Image Editor, AI Graphic Design"
25,ElevenLabs GenFM,14.8M,-7.8M,-34.4%,"AI Voice Cloning, Text to Speech"
26,Photopea,14.3M,1.3M,9.8%,Photo & Image Editor
27,Cutout.Pro,13.6M,-472.3K,-3.4%,"AI Background Remover, AI Photo Restoration"
28,BRAINLY,13.4M,-2.8M,-17.5%,"Homework Helper, AI Education Assistant, AI Knowledge Management"
29,PIXLR,12.9M,-10.2K,-0.1%,"Photo & Image Editor, AI Photo & Image Generator, AI Graphic Design"
30,Civitai,12.8M,-13.1M,-50.6%,AI Art &Design Creator
31,Leonardo.ai,12.7M,-4.1M,-24.3%,"AI Art &Design Creator, AI 3D Model Generator"
32,Mailchimp,12.5M,-1.6M,-11.6%,AI Email Marketing
33,Candy.ai,12.2M,-5.5M,-31.0%,"AI Girlfriend, AI Character"
34,PhotoRoom,12.2M,-1.7M,-12.5%,"AI Photo & Image Generator, AI Background Remover"
35,VEED,12.1M,-1.4M,-10.1%,"AI Video Editing, AI Video Enhancing, AI Video Recording"
36,Yodayo,11.6M,-4M,-25.5%,"AI Anime & Comic, AI Illustration Generator, AI Avatar Generator"
37,CrushOn.AI,11.4M,-6.2M,-35.1%,"NSFW, AI Character"
38,Deep Nostalgia,11M,668.7K,6.5%,"AI Photo & Image Generator, AI Video Generator"
39,DeepAI,10.4M,902.4K,9.6%,"AI Art &Design Creator, AI Video Generator"
40,123RF,10M,-2.2M,-17.9%,"Photo & Image Editor, AI Graphic Design"
41,Microsoft Designer,9.9M,1.1M,11.9%,"AI Graphic Design, AI Art &Design Creator"
42,Adobe Firefly,9.8M,512K,5.5%,"AI Art &Design Creator, AI Photo & Image Generator"
43,Perchance AI,9.7M,-1.1M,-9.9%,"Text to Image, AI Story Writing"
44,tawk.to,9.5M,2.5M,34.8%,"AI Customer Service Assistant, AI CRM Assistant"
45,LanguageTool,9.4M,-1.1M,-10.7%,AI Grammar Checker
46,Ideogram Canvas,9.3M,-2.1M,-18.1%,"Text to Image, AI Graphic Design"
47,Clipchamp,9M,39.3K,0.4%,"AI Video Editing, Text to Speech, AI Video Enhancing"
48,Doubao PixelDance,8.9M,2.8M,46.0%,"AI Chatbot, Writing Assistants, AI Voice Assistants"
49,Gamma,8.9M,-4.9M,-35.5%,AI Presentation Generator
50,InVideo,8.8M,-299.3K,-3.3%,"AI Video Generator, AI Video Editing"
