排名,工具名稱,每月訪問量,增長,增長率,標籤
1,ChatGPT,2.9B,359.5M,14.4%,"Large Language Models (LLMs), AI Chatbot"
2,DeepL,256.1M,-22.5M,-8.1%,Translate
3,Perplexity AI,80.3M,-5.1M,-6.0%,AI Search Engine
4,Claude AI,65M,-614.7K,-0.9%,"AI Chatbot, Large Language Models (LLMs)"
5,Janitor AI,61.7M,18.7M,43.5%,"AI Chatbot, AI Character"
6,Grammarly,57.6M,-12.2M,-17.4%,AI Grammar Checker
7,Poe,43.8M,-5.9M,-11.9%,"AI Chatbot, Multi-purpose Tools"
8,CapCut,40.2M,-3.1M,-7.3%,"AI Video Editing, Text to Speech"
9,HubSpot,39.4M,-2M,-4.9%,"AI CRM Assistant, AI Customer Service Assistant"
10,LINER,32.5M,-26.4M,-44.8%,AI Productivity Tools
11,Miro,28.9M,-2.4M,-7.6%,"AI Team Collaboration, Workflow & SOP Management"
12,Civitai,25.9M,1.1M,4.6%,AI Art &Design Creator
13,SpicyChat,24.1M,-1.4M,-5.5%,"AI Chatbot, NSFW, AI Character"
14,Kimi Chat,22.8M,249.4K,1.1%,"AI Chatbot, Large Language Models (LLMs)"
15,Beacons,22.7M,586.3K,2.6%,"AI Social Media Assistant, AI Content Detector"
16,ElevenLabs GenFM,22.5M,923.4K,4.3%,"AI Voice Cloning, Text to Speech"
17,Kolors Virtual Try On,21.2M,-1.1M,-4.8%,"AI Clothing Designer, AI Art &Design Creator"
18,Hugging Face,21.2M,-1.1M,-4.8%,"Large Language Models (LLMs), Multi-purpose Tools"
19,Luma AI Dream Machine 1.6: Luma Photon,18.6M,17.2M,New,"Text to Video, AI Video Generator"
20,Candy.ai,17.7M,3.7M,26.2%,"AI Girlfriend, AI Character"
21,CrushOn.AI,17.6M,820.8K,4.9%,"NSFW, AI Character"
22,Course Hero,17.3M,-7.8M,-31.1%,"AI Education Assistant, Homework Helper"
23,Leonardo.ai,16.8M,-455K,-2.6%,"AI Art &Design Creator, AI 3D Model Generator"
24,Yodayo,15.5M,-708.4K,-4.4%,"AI Anime & Comic, AI Illustration Generator, AI Avatar Generator"
25,Fotor,14.2M,-1.5M,-9.3%,"Photo & Image Editor, AI Graphic Design"
26,Mailchimp,14.1M,-1M,-6.7%,AI Email Marketing
27,Cutout.Pro,14.1M,-1.3M,-8.2%,"AI Background Remover, AI Photo Restoration"
28,VIGGLE,13.9M,7.6M,119.0%,"Image to Video, AI Video Editing, AI Video Generator"
29,PhotoRoom,13.9M,-400.7K,-2.8%,"AI Photo & Image Generator, AI Background Remover"
30,Gamma,13.7M,-2.2M,-13.9%,AI Presentation Generator
31,VEED,13.5M,109.4K,0.8%,"AI Video Editing, AI Video Enhancing, AI Video Recording"
32,PIXLR,12.9M,-127.6K,-1.0%,"Photo & Image Editor, AI Photo & Image Generator, AI Graphic Design"
33,123RF,12.2M,-1.1M,-8.4%,"Photo & Image Editor, AI Graphic Design"
34,Ideogram Canvas,11.4M,856.4K,8.1%,"Text to Image, AI Graphic Design"
35,Perchance AI,10.7M,1.3M,13.7%,"Text to Image, AI Story Writing"
36,LanguageTool,10.5M,-1.5M,-12.5%,AI Grammar Checker
37,Deep Nostalgia,10.4M,-343K,-3.2%,"AI Photo & Image Generator, AI Video Generator"
38,You.com,9.5M,-1.8M,-16.2%,"AI Search Engine, Large Language Models (LLMs)"
39,DeepAI,9.5M,-1.6M,-14.8%,"AI Art &Design Creator, AI Video Generator"
40,Adobe Firefly,9.3M,417.1K,4.7%,"AI Art &Design Creator, AI Photo & Image Generator"
41,Cara,9.2M,8.9M,New,"AI Social Media Assistant, AI Art &Design Assistant"
42,Seaart.ai,9.1M,159.5K,1.8%,"AI Art &Design Creator, Text to Image"
43,InVideo,9.1M,1.5M,20.0%,"AI Video Generator, AI Video Editing"
44,PixAI - AI Art Generator,9M,583.9K,7.0%,"AI Art &Design Creator, AI Manga & Comic"
45,Clipchamp,8.9M,-617.9K,-6.5%,"AI Video Editing, Text to Speech, AI Video Enhancing"
46,Microsoft Designer,8.8M,2.1M,32.0%,"AI Graphic Design, AI Art &Design Creator"
47,Udio,8.7M,-6.2M,-41.6%,"AI Music Generator, Text to Music"
48,Replit,8.2M,-597.7K,-6.8%,"AI Code Assistant, AI Developer Tools"
49,PicWish,8.2M,696.9K,9.3%,"AI Background Remover, AI Selfie & Portrait"
50,GPTZero,8M,-3.8M,-32.0%,"AI Detector, AI Content Detector"
