排名,工具名稱,每月訪問量,增長,增長率,標籤
1,ChatGPT,3.8B,131.6M,3.6%,"Large Language Models (LLMs), AI Chatbot"
2,Gemini - Google Vids AI,274.9M,-16.7M,-5.7%,"Large Language Models (LLMs), AI Chatbot"
3,DeepL,207.7M,-9M,-4.2%,Translate
4,Character.ai,186.2M,-936.7K,-0.5%,"AI Chatbot, AI Character"
5,Perplexity AI,103.4M,12.6M,13.9%,AI Search Engine
6,Quizlet,100.9M,-19.4M,-16.1%,"Homework Helper, AI Education Assistant, AI Quizzes"
7,Claude AI,87.6M,3.5M,4.2%,"AI Chatbot, Large Language Models (LLMs)"
8,QuillBot,77.6M,-2.8M,-3.4%,"AI Paraphraser, Summarizer, Writing Assistants"
9,Janitor AI,71.2M,13M,22.4%,"AI Chatbot, AI Character"
10,Remove Image Background,70.3M,-4M,-5.4%,"AI Background Remover, Photo & Image Editor, AI Photo Restoration"
11,Grammarly,61.9M,-6.2M,-9.1%,AI Grammar Checker
12,Zoho Cliq,60.4M,-4.3M,-6.6%,"AI Team Collaboration, AI Meeting Assistant, AI Files Assistant"
13,SUNO V4,51.2M,-732.8K,-1.4%,"AI Music Generator, Text to Music, AI Singing Generator"
14,AutoResponder.ai,47.7M,-572.7K,-1.2%,"AI Reply Assistant, AI Chatbot"
15,AI PDF Summarizer,47.1M,-3.1M,-6.2%,"AI PDF, Summarizer, AI Productivity Tools"
16,CapCut,39.9M,-2.7M,-6.4%,"AI Video Editing, Text to Speech"
17,HubSpot,36.3M,-4.7M,-11.4%,"AI CRM Assistant, AI Customer Service Assistant"
18,Kimi Chat,32.2M,3.5M,12.4%,"AI Chatbot, Large Language Models (LLMs)"
19,SpicyChat,31.9M,-440K,-1.4%,"AI Chatbot, NSFW, AI Character"
20,Poe,31.7M,-1.7M,-5.0%,"AI Chatbot, Multi-purpose Tools"
21,Miro,30.8M,-1.6M,-4.9%,"AI Team Collaboration, Workflow & SOP Management"
22,LINER,24.2M,1.3M,5.9%,AI Productivity Tools
23,Outlier,23.7M,4.2M,21.7%,"Large Language Models (LLMs), AI Developer Tools"
24,Beacons,21.4M,673.5K,3.3%,"AI Social Media Assistant, AI Content Detector"
25,Doubao PixelDance,21.1M,4.2M,25.1%,"AI Chatbot, Writing Assistants, AI Voice Assistants"
26,Gamma,21.1M,3.1M,17.1%,AI Presentation Generator
27,Turnitin,19M,-1.2M,-6.0%,"AI Plagiarism Detector, AI Essay Checker, AI Education Assistant"
28,ZeroGPT,18.8M,832.1K,4.6%,"AI Detector, AI Grammar Checker, AI Email Writer"
29,BRAINLY,17.9M,-3.9M,-17.7%,"Homework Helper, AI Education Assistant, AI Knowledge Management"
30,Grass,17.9M,11.8M,193.9%,"AI Web Scraper, AI Data Mining"
31,Course Hero,17.6M,-3.8M,-17.7%,"AI Education Assistant, Homework Helper"
32,BLACKBOX AI,16.3M,2.6M,19.1%,"AI Code Assistant, AI Code Generator"
33,Gauthmath,16.2M,-1.6M,-9.1%,"Homework Helper, AI Education Assistant"
34,Hailuo AI Video Generator,16M,4.5M,39.3%,"AI Video Generator, Text to Video, AI Short Clips Generator"
35,Civitai,15.5M,713.8K,4.8%,AI Art &Design Creator
36,DeepAI,15.4M,842.2K,5.8%,"AI Art &Design Creator, AI Video Generator"
37,Fotor,14.9M,-686.9K,-4.4%,"Photo & Image Editor, AI Graphic Design"
38,CrushOn.AI,14.6M,-5.4K,-0.0%,"NSFW, AI Character"
39,Cutout.Pro,14.2M,-33.9K,-0.2%,"AI Background Remover, AI Photo Restoration"
40,Leonardo.ai,14.1M,-2M,-12.2%,"AI Art &Design Creator, AI 3D Model Generator"
41,Photopea,13.8M,-337.1K,-2.4%,Photo & Image Editor
42,PhotoRoom,13.4M,137K,1.0%,"AI Photo & Image Generator, AI Background Remover"
43,Symbolab,13.3M,-1.7M,-11.1%,"Homework Helper, AI Education Assistant, AI Tutorial"
44,SLIDESGO,13.3M,392.7K,3.0%,"AI Presentation Generator, AI Tutorial"
45,PIXLR,13M,-348.4K,-2.6%,"Photo & Image Editor, AI Photo & Image Generator, AI Graphic Design"
46,Mailchimp,12.8M,-99.8K,-0.8%,AI Email Marketing
47,Perchance AI,11.9M,-242.9K,-2.0%,"Text to Image, AI Story Writing"
48,GPTZero,11.9M,1.4M,13.5%,"AI Detector, AI Content Detector"
49,VEED,11.7M,-571.5K,-4.7%,"AI Video Editing, AI Video Enhancing, AI Video Recording"
50,Seaart.ai,11.6M,-343.2K,-2.9%,"AI Art &Design Creator, Text to Image"
