排名,工具名稱,每月訪問量,增長,增長率,標籤
1,ChatGPT,3.7B,536M,17.2%,"Large Language Models (LLMs), AI Chatbot"
2,Gemini - Google Vids AI,291.6M,16.9M,6.2%,"Large Language Models (LLMs), AI Chatbot"
3,DeepL,216.8M,14.6M,7.2%,Translate
4,Character.ai,187.2M,4.5M,2.5%,"AI Chatbot, AI Character"
5,Quizlet,120.3M,7.6M,6.8%,"Homework Helper, AI Education Assistant, AI Quizzes"
6,Perplexity AI,90.8M,18.5M,25.5%,AI Search Engine
7,Claude AI,84.1M,13.6M,19.4%,"AI Chatbot, Large Language Models (LLMs)"
8,QuillBot,80.3M,4.2M,5.6%,"AI Paraphraser, Summarizer, Writing Assistants"
9,Remove Image Background,74.4M,2.2M,3.1%,"AI Background Remover, Photo & Image Editor, AI Photo Restoration"
10,Grammarly,68.1M,-609.3K,-0.9%,AI Grammar Checker
11,Zoho Cliq,64.7M,2.6M,4.2%,"AI Team Collaboration, AI Meeting Assistant, AI Files Assistant"
12,Janitor AI,58.2M,11.2M,23.9%,"AI Chatbot, AI Character"
13,SUNO V4,52M,1.3M,2.5%,"AI Music Generator, Text to Music, AI Singing Generator"
14,AI PDF Summarizer,50.2M,2.4M,5.0%,"AI PDF, Summarizer, AI Productivity Tools"
15,AutoResponder.ai,48.2M,2.6M,5.8%,"AI Reply Assistant, AI Chatbot"
16,CapCut,42.7M,408.9K,1.0%,"AI Video Editing, Text to Speech"
17,HubSpot,40.9M,650.1K,1.6%,"AI CRM Assistant, AI Customer Service Assistant"
18,Poe,33.4M,1.9M,5.9%,"AI Chatbot, Multi-purpose Tools"
19,Miro,32.4M,3M,10.1%,"AI Team Collaboration, Workflow & SOP Management"
20,SpicyChat,32.4M,6.8M,26.7%,"AI Chatbot, NSFW, AI Character"
21,Kimi Chat,28.6M,4.1M,16.6%,"AI Chatbot, Large Language Models (LLMs)"
22,LINER,22.9M,354.4K,1.6%,AI Productivity Tools
23,BRAINLY,21.8M,-899.4K,-4.0%,"Homework Helper, AI Education Assistant, AI Knowledge Management"
24,Course Hero,21.4M,-531K,-2.4%,"AI Education Assistant, Homework Helper"
25,Beacons,20.7M,598.7K,3.0%,"AI Social Media Assistant, AI Content Detector"
26,Turnitin,20.2M,3.7M,22.2%,"AI Plagiarism Detector, AI Essay Checker, AI Education Assistant"
27,Outlier,19.5M,6.6M,51.7%,"Large Language Models (LLMs), AI Developer Tools"
28,Chatbond - AI Chatbot Builder,19.1M,720.4K,3.9%,"AI Chatbot, AI Customer Service Assistant, AI Knowledge Management"
29,Kolors Virtual Try On,19.1M,1.3M,7.2%,"AI Clothing Designer, AI Art &Design Creator"
30,Hugging Face,19.1M,1.3M,7.2%,"Large Language Models (LLMs), Multi-purpose Tools"
31,ZeroGPT,18M,3.5M,23.9%,"AI Detector, AI Grammar Checker, AI Email Writer"
32,Gamma,18M,3.7M,25.6%,AI Presentation Generator
33,Gauthmath,17.9M,3.2M,22.2%,"Homework Helper, AI Education Assistant"
34,Doubao PixelDance,16.9M,3.4M,25.0%,"AI Chatbot, Writing Assistants, AI Voice Assistants"
35,Leonardo.ai,16M,92.9K,0.6%,"AI Art &Design Creator, AI 3D Model Generator"
36,Fotor,15.6M,8.5K,0.1%,"Photo & Image Editor, AI Graphic Design"
37,Symbolab,15M,815.5K,5.8%,"Homework Helper, AI Education Assistant, AI Tutorial"
38,Civitai,14.8M,875K,6.3%,AI Art &Design Creator
39,CrushOn.AI,14.6M,1.1M,8.4%,"NSFW, AI Character"
40,DeepAI,14.6M,2.1M,16.8%,"AI Art &Design Creator, AI Video Generator"
41,Cutout.Pro,14.2M,532.4K,3.9%,"AI Background Remover, AI Photo Restoration"
42,Photopea,14.1M,609.2K,4.5%,Photo & Image Editor
43,BLACKBOX AI,13.7M,4.5M,49.2%,"AI Code Assistant, AI Code Generator"
44,Kling AI 1.6 - Global,13.4M,-3.3M,-19.6%,"AI Video Generator, AI Video Editing"
45,PIXLR,13.4M,573.9K,4.5%,"Photo & Image Editor, AI Photo & Image Generator, AI Graphic Design"
46,PhotoRoom,13.2M,587.4K,4.6%,"AI Photo & Image Generator, AI Background Remover"
47,Mailchimp,12.9M,168.7K,1.3%,AI Email Marketing
48,VEED,12.2M,568.1K,4.9%,"AI Video Editing, AI Video Enhancing, AI Video Recording"
49,Perchance AI,12.2M,576.5K,5.0%,"Text to Image, AI Story Writing"
50,Seaart.ai,11.9M,490.5K,4.3%,"AI Art &Design Creator, Text to Image"
