排名,工具名稱,每月訪問量,增長,增長率,標籤
1,ChatGPT,3.1B,492.5M,18.7%,"Large Language Models (LLMs), AI Chatbot"
2,Gemini - Google Vids AI,274.7M,6.9M,2.6%,"Large Language Models (LLMs), AI Chatbot"
3,DeepL,202.2M,2.2M,1.1%,Translate
4,Character.ai,182.6M,-18.1M,-9.0%,"AI Chatbot, AI Character"
5,Quizlet,112.7M,51.4M,83.8%,"Homework Helper, AI Education Assistant, AI Quizzes"
6,QuillBot,76.1M,13M,20.7%,"AI Paraphraser, Summarizer, Writing Assistants"
7,Perplexity AI,72.3M,14.5M,25.1%,AI Search Engine
8,Remove Image Background,72.2M,1.1M,1.6%,"AI Background Remover, Photo & Image Editor, AI Photo Restoration"
9,Claude AI,70.4M,936.1K,1.4%,"AI Chatbot, Large Language Models (LLMs)"
10,Grammarly,68.7M,6.5M,10.5%,AI Grammar Checker
11,SUNO V4,50.7M,-5.6M,-9.9%,"AI Music Generator, Text to Music, AI Singing Generator"
12,AI PDF Summarizer,47.8M,2.2M,4.9%,"AI PDF, Summarizer, AI Productivity Tools"
13,Janitor AI,46.9M,1.1M,2.5%,"AI Chatbot, AI Character"
14,AutoResponder.ai,45.6M,-2.2M,-4.7%,"AI Reply Assistant, AI Chatbot"
15,CapCut,42.3M,1.9M,4.7%,"AI Video Editing, Text to Speech"
16,HubSpot,40.3M,-1.7M,-4.0%,"AI CRM Assistant, AI Customer Service Assistant"
17,Poe,31.5M,3.8M,13.6%,"AI Chatbot, Multi-purpose Tools"
18,Miro,29.4M,1.9M,7.0%,"AI Team Collaboration, Workflow & SOP Management"
19,SpicyChat,25.6M,293.4K,1.2%,"AI Chatbot, NSFW, AI Character"
20,Kimi Chat,24.5M,1.7M,7.5%,"AI Chatbot, Large Language Models (LLMs)"
21,BRAINLY,22.7M,9.1M,67.0%,"Homework Helper, AI Education Assistant, AI Knowledge Management"
22,LINER,22.5M,498.5K,2.3%,AI Productivity Tools
23,Course Hero,21.9M,4.3M,24.6%,"AI Education Assistant, Homework Helper"
24,Beacons,20.1M,291.3K,1.5%,"AI Social Media Assistant, AI Content Detector"
25,Chatbond - AI Chatbot Builder,18.4M,-591.2K,-3.1%,"AI Chatbot, AI Customer Service Assistant, AI Knowledge Management"
26,Kolors Virtual Try On,17.8M,-412.4K,-2.3%,"AI Clothing Designer, AI Art &Design Creator"
27,Hugging Face,17.8M,-412.4K,-2.3%,"Large Language Models (LLMs), Multi-purpose Tools"
28,Kling AI 1.6 - Global,16.7M,1.8M,12.0%,"AI Video Generator, AI Video Editing"
29,Turnitin,16.5M,5.9M,55.9%,"AI Plagiarism Detector, AI Essay Checker, AI Education Assistant"
30,Leonardo.ai,15.9M,1.7M,12.0%,"AI Art &Design Creator, AI 3D Model Generator"
31,Fotor,15.6M,251.1K,1.6%,"Photo & Image Editor, AI Graphic Design"
32,Gauthmath,14.6M,4.6M,46.6%,"Homework Helper, AI Education Assistant"
33,ZeroGPT,14.5M,5.5M,60.6%,"AI Detector, AI Grammar Checker, AI Email Writer"
34,Gamma,14.3M,4M,39.2%,AI Presentation Generator
35,ElevenLabs GenFM,14.2M,-382.4K,-2.6%,"AI Voice Cloning, Text to Speech"
36,Symbolab,14.2M,5.5M,64.2%,"Homework Helper, AI Education Assistant, AI Tutorial"
37,Civitai,13.9M,-185.5K,-1.3%,AI Art &Design Creator
38,Cutout.Pro,13.7M,611.4K,4.7%,"AI Background Remover, AI Photo Restoration"
39,Doubao PixelDance,13.5M,2.7M,25.1%,"AI Chatbot, Writing Assistants, AI Voice Assistants"
40,Photopea,13.5M,-798K,-5.6%,Photo & Image Editor
41,CrushOn.AI,13.5M,1.6M,13.1%,"NSFW, AI Character"
42,Fams.ai,13M,-2.3M,-15.1%,"AI Character, AI Chatbot, AI Girlfriend"
43,Outlier,12.9M,809K,6.7%,"Large Language Models (LLMs), AI Developer Tools"
44,PIXLR,12.8M,-160.9K,-1.2%,"Photo & Image Editor, AI Photo & Image Generator, AI Graphic Design"
45,Mailchimp,12.8M,371K,3.0%,AI Email Marketing
46,PhotoRoom,12.7M,-93.6K,-0.7%,"AI Photo & Image Generator, AI Background Remover"
47,DeepAI,12.5M,1.8M,17.1%,"AI Art &Design Creator, AI Video Generator"
48,Luma AI Dream Machine 1.6: Luma Photon,11.8M,-7.4M,-38.5%,"Text to Video, AI Video Generator"
49,VEED,11.7M,-626.2K,-5.1%,"AI Video Editing, AI Video Enhancing, AI Video Recording"
50,Perchance AI,11.6M,939.6K,8.8%,"Text to Image, AI Story Writing"
