排名,工具名稱,每月訪問量,增長,增長率,標籤
1,Open AI o3,556.2M,9.6M,1.8%,"Large Language Models (LLMs), Research Tools"
2,NotebookLM,10M,772.2K,8.4%,"AI Notes Assistant, AI Knowledge Management, Research Tools"
3,Casetext,4.6M,-308.5K,-6.3%,"Legal Assistant, Research Tools"
4,Branded,4.4M,221.7K,5.3%,"Research Tools, AI Analytics Assistant"
5,SciSpace,3.6M,-646.5K,-15.1%,Research Tools
6,Amazon Project Amelia,3.5M,-218.3K,-5.9%,"AI E-commerce Tools, Sales Assistant"
7,Periodic Table Chemistry 2024,3M,-395.1K,-11.5%,"AI Education Assistant, Research Tools"
8,insMind AI Image Expander,3M,515.5K,20.6%,"AI Photo & Image Generator, AI E-commerce Tools, Photo & Image Enhancer"
9,Vmake,1.6M,-726.6K,-30.7%,"AI Photography, AI E-commerce Tools"
10,Elicit AI,1.6M,-235.4K,-12.6%,Research Tools
11,Scite.AI,1.5M,-16.8K,-1.1%,"Research Tools, AI Search Engine, AI Chatbot"
12,clickworker,1.4M,-76.2K,-5.2%,"AI Data Mining, Research Tools"
13,Appen,1.4M,-144.2K,-9.5%,"AI Data Mining, Research Tools"
14,Meitu Design Studio,1.1M,1M,New,"AI Graphic Design, AI E-commerce Tools"
15,WebX,1.1M,-181.9K,-13.9%,"AI Website Builder, AI Landing Page Builder, AI E-commerce Tools"
16,Namelix,1M,-260.9K,-20.1%,"Domain Name Generator, Business Ideas Generator"
17,Koupon.ai,1M,142.8K,16.2%,"AI E-commerce Tools, AI Detector"
18,Seismic,1M,-215.4K,-17.5%,"Sales Assistant, AI Content Detector"
19,Connected Papers,913.5K,-141.4K,-13.4%,"Papers Writing, Research Tools"
20,Commerce Pro by CapCut,875.8K,170.7K,24.2%,"AI E-commerce Tools, AI Video Editing, AI Social Media Assistant"
21,Tome,808.7K,-267.5K,-24.9%,"AI Presentation Generator, Sales Assistant"
22,PPSPY,793.4K,-186.3K,-19.0%,"AI E-commerce Tools, Research Tools"
23,Rezi,772.3K,57.2K,8.0%,"Resume & Cover Letter, AI Interview Assistant"
24,copecart,758.9K,149.6K,24.5%,"AI E-commerce Tools, Sales Assistant"
25,Sense Talent Engagement Platform,724.3K,38.7K,5.6%,AI Recruiting
26,Tictuk,648.1K,120.9K,22.9%,"AI E-commerce Tools, AI Customer Service Assistant"
27,Recruit CRM,593.1K,-52.5K,-8.1%,"AI Recruiting, AI CRM Assistant"
28,Testmarket,589.4K,-98.9K,-14.4%,"AI E-commerce Tools, AI Analytics Assistant"
29,Dover | Sourcing Autopilot,564K,7.5K,1.4%,"AI Recruiting, AI Interview Assistant"
30,MacroMicro,530.5K,1.3K,0.3%,"AI Investing & Trading Tools, Research Tools"
31,TXYZ.AI,530.1K,-111.4K,-17.4%,"Papers Writing, Research Tools"
32,FinChat.io,522.6K,-47.6K,-8.3%,"AI Investing & Trading Tools, Research Tools, AI Analytics Assistant"
33,Globe Explorer,497.1K,-722.3K,-59.2%,"Research Tools, AI Search Engine, Large Language Models (LLMs)"
34,GrabJobs,493K,-206.9K,-29.6%,AI Recruiting
35,Unriddle,485.6K,-185K,-27.6%,"Research Tools, Summarizer"
36,StockStory,482K,207.9K,75.9%,"AI Investing & Trading Tools, Research Tools"
37,Final Round AI,481.8K,-82.2K,-14.6%,"AI Interview Assistant, Resume & Cover Letter"
38,SmallTalk2Me,481K,-24.5K,-4.9%,AI Interview Assistant
39,BUILD YOUR STORE,468.3K,56K,13.6%,"AI E-commerce Tools, No-Code & Low-Code"
40,Rayyan,463.6K,21.3K,4.8%,Research Tools
41,ChainGPT,461.2K,-100.1K,-17.8%,"AI Investing & Trading Tools, NFTs & Blockchain"
42,Quetext,432.1K,-31.4K,-6.8%,"AI Plagiarism Detector, Research Tools"
43,TaxTim SA,427.9K,-22.6K,-5.0%,Tax Assistant
44,https://www.scholarcy.com/,405.7K,-12.7K,-3.0%,"Summarizer, Research Tools"
45,ResearchRabbit,400.6K,-102.8K,-20.4%,Research Tools
46,WinningHunter,390.9K,-78K,-16.6%,"AI E-commerce Tools, AI Ad Creative Assistant"
47,HireAI,386.5K,12.1K,3.2%,"AI Recruiting, AI Interview Assistant"
48,TrueGether,371.9K,-31.8K,-7.9%,"AI E-commerce Tools, AI Advertising Assistant"
49,Dovetail,344.6K,-44.7K,-11.5%,"AI Knowledge Management, AI Team Collaboration, Research Tools"
50,Composer,325.6K,74.1K,29.5%,"AI Investing & Trading Tools, AI Code Assistant"
