排名,工具名稱,每月訪問量,增長,增長率,標籤
1,ChatGPT,3.7B,-101M,-2.7%,"Large Language Models (LLMs), AI Chatbot"
2,Gemini - Google Vids AI,261.5M,-13.4M,-4.9%,"Large Language Models (LLMs), AI Chatbot"
3,Character.ai,201.8M,15.6M,8.4%,"AI Chatbot, AI Character"
4,Janitor AI,88.4M,17.3M,24.3%,"AI Chatbot, AI Character"
5,Claude AI,73.8M,-13.8M,-15.7%,"AI Chatbot, Large Language Models (LLMs)"
6,Kimi Chat,37.6M,5.5M,17.0%,"AI Chatbot, Large Language Models (LLMs)"
7,SpicyChat,36.3M,4.4M,13.8%,"AI Chatbot, NSFW, AI Character"
8,AutoResponder.ai,31.4M,-16.3M,-34.1%,"AI Reply Assistant, AI Chatbot"
9,Doubao PixelDance,31.3M,10.2M,48.3%,"AI Chatbot, Writing Assistants, AI Voice Assistants"
10,Poe,28.1M,-3.7M,-11.5%,"AI Chatbot, Multi-purpose Tools"
11,CrushOn.AI,16.4M,1.8M,12.5%,"NSFW, AI Character"
12,Moescape AI,13M,-2.1M,-13.9%,"AI Anime & Comic, AI Character"
13,Candy.ai,11.4M,674K,6.3%,"AI Girlfriend, AI Character"
14,Fams.ai,10.2M,5.5M,115.2%,"AI Character, AI Chatbot, AI Girlfriend"
15,Monica - Your ChatGPT AI Assistant Chrome Extension,10M,318.6K,3.3%,"AI Chatbot, Multi-purpose Tools"
16,Talkie AI,8.6M,1.7M,24.2%,"AI Chatbot, AI Character"
17,Joyland,7.9M,3M,63.1%,"AI Character, NSFW"
18,CHUB,7.5M,-80.5K,-1.1%,"AI Chatbot, AI Character"
19,Chub,7.5M,-80.5K,-1.1%,"AI Character, NSFW"
20,xAI Grok-2 | Grok Aurora,5.8M,3.1M,116.3%,"AI Chatbot, AI Code Assistant"
21,GigaChat,5.1M,2.6M,105.1%,"AI Chatbot, AI Education Assistant"
22,Wrtn,4.9M,-156.6K,-3.1%,"AI Chatbot, AI Photo & Image Generator"
23,Sakura,4.8M,1.1M,29.5%,"AI Chatbot, AI Character"
24,Gemini 2.0 Flash Thinking,4.6M,3.2M,233.7%,"Large Language Models (LLMs), AI Chatbot, AI Code Assistant"
25,ChatPDF,4.1M,-1.6M,-28.1%,"AI PDF, AI Chatbot"
26,Intercom,3.8M,-95.6K,-2.4%,"AI Customer Service Assistant, AI Chatbot"
27,Imarena.AI,3.7M,486.8K,15.3%,"Large Language Models (LLMs), AI Chatbot, AI Tools Directory"
28,ChatGLM,3.6M,-340K,-8.6%,"Large Language Models (LLMs), AI Chatbot"
29,Uhmegle,3.6M,924.9K,35.0%,"AI Voice Chat Generator, AI Chatbot, AI Character"
30,Pi,3.5M,-1M,-22.7%,"AI Chatbot, AI Customer Service Assistant"
31,Cici AI,3.4M,-899.7K,-21.0%,AI Chatbot
32,Carter Chat,3.3M,877.7K,35.7%,"AI Character, AI Chatbot"
33,Merlin AI,3.2M,36.4K,1.2%,"AI Chatbot, AI Response Generator"
34,MyShell,2.5M,-210.7K,-7.8%,"AI Chatbot, AI Developer Tools"
35,Poly.AI,2.5M,-7.9M,-76.3%,"AI Character, AI Chatbot"
36,Venice AI,2.4M,303K,14.7%,"AI Code Generator, AI Photo & Image Generator, AI Chatbot"
37,xoul.ai,2.3M,1.2M,102.9%,"AI Character, AI Story Writing"
38,BasedLabs AI Character Generator,2.3M,-50.5K,-2.2%,"AI Character, AI Art &Design Creator"
39,Chai,2.2M,290.4K,15.3%,"AI Chatbot, Large Language Models (LLMs)"
40,Felo,2.1M,111.2K,5.5%,"Translate, AI Chatbot"
41,Museland AI,1.9M,137.2K,7.7%,"AI Story Writing, AI Character"
42,Kindroid,1.9M,430.3K,29.2%,AI Character
43,Chatbond - AI Chatbot Builder,1.8M,-6.2M,-78.1%,"AI Chatbot, AI Customer Service Assistant, AI Knowledge Management"
44,Abacus.AI,1.7M,50K,3.0%,"AI Chatbot, Large Language Models (LLMs), AI Customer Service Assistant"
45,DreamGF.ai,1.6M,-56.8K,-3.4%,"AI Girlfriend, NSFW"
46,AiChatting.net,1.6M,-273.1K,-14.8%,"AI Chatbot, AI Character"
47,Moemate,1.5M,-348.4K,-18.5%,"AI Character, AI Chatbot"
48,Writesonic,1.5M,-33.2K,-2.1%,"AI Blog Writer, AI SEO Tools, AI Chatbot"
49,Tencent Yuanbao,1.5M,257.1K,20.7%,"Multi-purpose Tools, AI Chatbot"
50,NSFWLover,1.5M,1M,228.8%,"NSFW, AI Chatbot"
