排名,工具名稱,每月訪問量,增長,增長率,標籤
1,Perplexity AI,93.5M,-9.9M,-9.6%,AI Search Engine
2,Outlier,29.7M,6M,25.4%,"Large Language Models (LLMs), AI Developer Tools"
3,OpenAI o1 in the API,27.8M,-4.9M,-15.0%,"Large Language Models (LLMs), AI Code Assistant"
4,BLACKBOX AI,19M,2.7M,16.3%,"AI Code Assistant, AI Code Generator"
5,Grass,14.2M,-3.6M,-20.3%,"AI Web Scraper, AI Data Mining"
6,Google Gemini 2.0-重复产品,11.3M,4.7M,72.3%,"Large Language Models (LLMs), AI Developer Tools"
7,WikiWand,8.7M,86.4K,1.0%,"AI Search Engine, AI Web Scraper, AI Knowledge Management"
8,Cursor,7.8M,1.5M,24.4%,"AI Code Assistant, AI Code Generator, AI Developer Tools"
9,WebStorm,7.7M,-1M,-11.7%,"AI Code Assistant, AI Developer Tools, AI Code Generator"
10,bolt,7.4M,919.6K,14.3%,"AI Code Assistant, AI Website Builder, No-Code & Low-Code"
11,Microsoft Phi-4,6.7M,-497K,-6.9%,"Large Language Models (LLMs), AI Code Assistant"
12,Wolfram Alpha,6.4M,-1.3M,-16.9%,"AI Knowledge Management, AI Search Engine"
13,Mistral AI,6.2M,1.7M,36.3%,"Large Language Models (LLMs), AI Code Assistant, AI Developer Tools"
14,xAI Grok-2 | Grok Aurora,5.8M,3.1M,116.3%,"AI Chatbot, AI Code Assistant"
15,You.com,5.5M,-773.4K,-12.4%,"AI Search Engine, Large Language Models (LLMs)"
16,Sider,5.3M,-477.1K,-8.2%,"AI Productivity Tools, Writing Assistants, AI Browsers Builder"
17,HPE GreenLake AI/ML,5.2M,-303.8K,-5.5%,"Large Language Models (LLMs), AI Code Assistant, AI DevOps Assistant"
18,Replit,5.2M,-25.5K,-0.5%,"AI Code Assistant, AI Developer Tools"
19,Gemma,4.8M,1.8M,58.0%,"Large Language Models (LLMs), AI Code Generator"
20,Gemini 2.0 Flash Thinking,4.6M,3.2M,233.7%,"Large Language Models (LLMs), AI Chatbot, AI Code Assistant"
21,MailerLite,4.6M,-168.4K,-3.5%,"AI Email Marketing, AI Website Builder"
22,Supabase,4.2M,883.2K,26.7%,"AI Code Assistant, AI API Design"
23,iAsk.Ai,4.1M,-58K,-1.4%,"AI Search Engine, AI Grammar Checker"
24,Elementor AI,3.8M,-317.9K,-7.8%,"AI Website Builder, AI Code Assistant"
25,v0.dev,3.7M,91.1K,2.5%,AI Code Generator
26,Lenso.ai,3.6M,-412.7K,-10.2%,"AI Image Recognition, AI Search Engine"
27,Consensus,3.3M,-14.7K,-0.5%,"AI Search Engine, AI Web Scraper"
28,Framer,3M,-244.2K,-7.5%,"AI Website Designer, No-Code & Low-Code"
29,MeshChain,2.8M,2.2M,347.5%,"AI DevOps Assistant, AI Developer Tools"
30,Windsurf,2.7M,763.8K,39.0%,AI Code Assistant
31,Codeium,2.7M,763.8K,39.0%,"AI Code Assistant, AI Code Generator"
32,Immersive Translate,2.7M,47.9K,1.8%,"Translate, AI Web Scraper"
33,Genspark,2.6M,585K,28.9%,"AI Search Engine, Summarizer"
34,PyTorch,2.6M,-184.2K,-6.7%,"AI Developer Tools, AI Code Assistant, AI Code Generator"
35,MyShell,2.5M,-210.7K,-7.8%,"AI Chatbot, AI Developer Tools"
36,Exa,2.5M,2.3M,New,"AI Search Engine, AI Web Scraper"
37,GPT Engineer,2.5M,2M,460.8%,"AI Website Designer, Other, AI Code Generator, AI Developer Tools, AI App Builder, AI Landing Page Builder, AI Website Builder, AI Code Assistant"
38,Julius AI | Your AI Data Analyst,2.4M,-148.2K,-5.8%,"AI Data Mining, AI SQL Assistant"
39,Venice AI,2.4M,303K,14.7%,"AI Code Generator, AI Photo & Image Generator, AI Chatbot"
40,Fillout.com,2.1M,-132.8K,-6.0%,"AI Forms & Surveys, No-Code & Low-Code"
41,Oasis Decart AI,2M,-9.4M,-82.1%,"Game Tools, AI 3D Model Generator, AI Art &Design Creator"
42,HEROZ,1.8M,65.2K,3.7%,"Game Tools, AI Developer Tools"
43,forms app,1.8M,-126.4K,-6.6%,"AI Forms & Surveys, No-Code & Low-Code"
44,Anakin.ai,1.8M,70.5K,4.1%,"No-Code & Low-Code, Multi-purpose Tools, Large Language Models (LLMs)"
45,Angular.dev,1.7M,30.1K,1.9%,AI Developer Tools
46,WebSim AI,1.6M,-181.5K,-10.4%,"AI Website Builder, AI Code Assistant"
47,Scite.AI,1.5M,-16.8K,-1.1%,"Research Tools, AI Search Engine, AI Chatbot"
48,clickworker,1.4M,-76.2K,-5.2%,"AI Data Mining, Research Tools"
49,Appen,1.4M,-144.2K,-9.5%,"AI Data Mining, Research Tools"
50,Query Search,1.3M,-348.9K,-21.0%,"AI Search Engine, AI Analytics Assistant"
