排名,工具名稱,每月訪問量,增長,增長率,標籤
1,Quizlet,85.9M,-15M,-14.9%,"Homework Helper, AI Education Assistant, AI Quizzes"
2,Turnitin,15M,-4M,-21.0%,"AI Plagiarism Detector, AI Essay Checker, AI Education Assistant"
3,BRAINLY,14.1M,-3.8M,-21.4%,"Homework Helper, AI Education Assistant, AI Knowledge Management"
4,Gauthmath,13.4M,-2.8M,-17.3%,"Homework Helper, AI Education Assistant"
5,Course Hero,12.5M,-5.1M,-29.0%,"AI Education Assistant, Homework Helper"
6,NotebookLM,10M,772.2K,8.4%,"AI Notes Assistant, AI Knowledge Management, Research Tools"
7,Symbolab,9.4M,-4M,-29.9%,"Homework Helper, AI Education Assistant, AI Tutorial"
8,SLIDESGO,9.3M,-4M,-30.0%,"AI Presentation Generator, AI Tutorial"
9,WikiWand,8.7M,86.4K,1.0%,"AI Search Engine, AI Web Scraper, AI Knowledge Management"
10,Wolfram Alpha,6.4M,-1.3M,-16.9%,"AI Knowledge Management, AI Search Engine"
11,DataCamp,6.2M,-720K,-10.4%,"AI Course, AI Knowledge Management"
12,GigaChat,5.1M,2.6M,105.1%,"AI Chatbot, AI Education Assistant"
13,Knowt,4.6M,1.4M,42.5%,"AI Quizzes, AI Notes Assistant"
14,Periodic Table Chemistry 2024,3M,-395.1K,-11.5%,"AI Education Assistant, Research Tools"
15,Glasp,3M,-182.8K,-5.8%,"AI Notes Assistant, AI Knowledge Management"
16,Unstuck AI,2.7M,768.2K,40.1%,"AI Education Assistant, AI Quizzes, AI Course"
17,STUDY FETCH,2.5M,442.2K,21.6%,AI Education Assistant
18,Study Fetch,2.5M,442.2K,21.6%,AI Education Assistant
19,MagicSchool,2.4M,-835.5K,-25.9%,"AI Education Assistant, AI Coaching, AI Quizzes"
20,MagicSchool AI,2.4M,-835.5K,-25.9%,"AI Education Assistant, AI Task Management"
21,Gizmo,2.2M,-476.4K,-17.6%,"AI Education Assistant, AI Quizzes, Homework Helper"
22,Edmentum Exact Path,2.2M,-191.2K,-8.0%,AI Education Assistant
23,Cognito,2.2M,-36.9K,-1.7%,"AI Education Assistant, AI Course"
24,Up Learn,2.1M,-174.7K,-7.6%,"AI Course, AI Education Assistant"
25,Hint,2M,558K,38.6%,"Religion, AI Coaching"
26,Socratic,2M,-639.5K,-24.4%,"AI Education Assistant, AI Tutorial"
27,DeepLearning.AI,1.8M,143.2K,8.6%,"AI Course, AI Education Assistant, AI Tutorial"
28,Chatbond - AI Chatbot Builder,1.8M,-6.2M,-78.1%,"AI Chatbot, AI Customer Service Assistant, AI Knowledge Management"
29,YouLearn,1.7M,291.3K,20.5%,"AI Education Assistant, AI Tutorial"
30,MathGPT,1.6M,5.1K,0.3%,"Homework Helper, AI Education Assistant"
31,Mathos AI,1.6M,-195.8K,-11.1%,"Homework Helper, AI Education Assistant"
32,Skillsoft Percipio,1.4M,-151.3K,-9.6%,"AI Education Assistant, AI Knowledge Management"
33,Crisp,1.3M,-5.9K,-0.5%,"AI Customer Service Assistant, AI Team Collaboration, AI Knowledge Management"
34,Revisely,1.3M,-332.4K,-20.7%,"AI Education Assistant, AI Tutorial"
35,Quizgecko,1.1M,250.2K,28.9%,"AI Quizzes, AI Education Assistant"
36,Glean,924.1K,-85.9K,-8.5%,"AI Knowledge Management, AI Search Engine"
37,GitBook,794.3K,36.2K,4.8%,"AI Documents Assistant, AI Knowledge Management"
38,Gigi,641.5K,300.2K,88.0%,"AI Coaching, AI Task Management"
39,mymind,595.7K,-56.9K,-8.7%,"AI Knowledge Management, AI Notes Assistant"
40,Turbolearn AI,577K,20.8K,3.8%,"AI Education Assistant, AI Notes Assistant, AI Recording &Summarizer"
41,Smartick | Online Elementary Math For Children,573.2K,-392.4K,-40.6%,AI Education Assistant
42,Photomath,567.7K,-57.1K,-9.1%,"Homework Helper, AI Education Assistant, AI Tutorial"
43,Speak,566.5K,78K,16.0%,"AI Speech Recognition, AI Speech Synthesis, AI Education Assistant"
44,Mathful,538.4K,-100.7K,-15.8%,Homework Helper
45,https://www.nastia.ai/,508.1K,167.6K,49.2%,"AI Coaching, Mental Health Support"
46,RunComfy,492.1K,8.3K,1.7%,"AI Art &Design Creator, AI Coaching"
47,Penseum - Your AI-Powered Study Partner,472.3K,192.9K,69.1%,AI Education Assistant
48,PlantIn plant care identifier,419.8K,-3.6K,-0.8%,"AI Image Recognition, AI Knowledge Management"
49,Thetawise,397.6K,-95.6K,-19.4%,AI Education Assistant
50,fast.ai,385.2K,-8.7K,-2.2%,"AI Education Assistant, AI Course"
