排名,工具名稱,每月訪問量,增長,增長率,標籤
1,Peloton,6M,-201.7K,-3.3%,"Sports & Fitness, AI Video Generator"
2,Casetext,4.6M,-308.5K,-6.3%,"Legal Assistant, Research Tools"
3,Pestle Recipe Manager,3M,-395.1K,-11.5%,AI Cooking Assistant
4,Hint,2M,558K,38.6%,"Religion, AI Coaching"
5,Resume Worded,1.7M,-291.8K,-14.7%,"Resume & Cover Letter, AI Documents Assistant"
6,What Beats Rock Game,1.7M,-700.4K,-29.6%,"Creative Writing, Fun Tools"
7,Bark,1.5M,-59.9K,-3.8%,"AI Customer Service Assistant, Parenting"
8,Kupid AI - Chat with AI Girls,1.1M,133.7K,13.8%,"AI Dating Assistant, AI Character"
9,Kickresume,1.1M,-231.8K,-17.9%,Resume & Cover Letter
10,おいしい健康,1M,-252K,-19.7%,"AI Cooking Assistant, Healthcare"
11,ResumeBuilder.com,911.4K,-240.7K,-20.9%,"Resume & Cover Letter, AI Documents Assistant"
12,Healthify,796.4K,-56.8K,-6.7%,"Healthcare, Sports & Fitness"
13,Wanderboat AI Travel Planner,796K,296.2K,59.3%,"AI Trip Planner, Life Assistant"
14,Rezi,772.3K,57.2K,8.0%,"Resume & Cover Letter, AI Interview Assistant"
15,CHEATER BUSTER,661K,78.6K,13.5%,"AI Dating Assistant, AI Social Media Assistant, AI Search Engine"
16,Freed | The AI Medical Scribe for Clinicians,606.8K,-25.7K,-4.1%,Healthcare
17,Heidi,599K,16.5K,2.8%,Healthcare
18,Voice Changer,522.5K,413,0.1%,"AI Voice Changer, Fun Tools"
19,https://www.nastia.ai/,508.1K,167.6K,49.2%,"AI Coaching, Mental Health Support"
20,GVA NDAチェック,495K,-54.9K,-10.0%,"AI Contract Management, Legal Assistant"
21,Final Round AI,481.8K,-82.2K,-14.6%,"AI Interview Assistant, Resume & Cover Letter"
22,Careerflow,393.2K,-35.4K,-8.3%,Resume & Cover Letter
23,Layla AI,387K,-18.3K,-4.5%,AI Trip Planner
24,Luzia: Your intelligent assistant at a click,377.6K,19K,5.3%,"AI Chatbot, Life Assistant"
25,Huntr,376.9K,-59.8K,-13.7%,Resume & Cover Letter
26,Filevine,363.9K,-21.1K,-5.5%,"Legal Assistant, AI Documents Assistant"
27,Romantic AI,348.5K,110.1K,46.1%,"AI Dating Assistant, AI Character"
28,DoNotPay,327.1K,12.4K,3.9%,"AI Chatbot, Legal Assistant"
29,VMock Dashboard,282.1K,-137K,-32.7%,"Resume & Cover Letter, AI Coaching"
30,Swooped,281.3K,-2.1K,-0.8%,Resume & Cover Letter
31,RoastMyWrapped,269.6K,269.6K,New,"AI Reply Assistant, Fun Tools"
32,Doctronic AI Doctors + Human Doctors,256.4K,172.7K,206.3%,Healthcare
33,Roast Master,250.5K,-159K,-38.8%,"AI Social Media Assistant, Creative Writing, Fun Tools"
34,Snappy,223.1K,123.8K,124.6%,"AI Gift Ideas, Multi-purpose Tools"
35,Tarteel,211.8K,34.1K,19.2%,Religion
36,Genie AI,200.8K,-10.1K,-4.8%,"AI Contract Management, AI Documents Assistant, Legal Assistant"
37,FitnessAI,195.7K,-57.9K,-22.8%,"Sports & Fitness, AI Coaching"
38,Rosebud - AI Journal for Personal Growth,188.4K,39.9K,26.8%,"AI Notes Assistant, Mental Health Support"
39,Death by AI,188.1K,-9.6K,-4.9%,"AI Chatbot, Fun Tools, AI Team Collaboration"
40,RIZZ AI,170.4K,18.8K,12.4%,"AI Dating Assistant, AI Response Generator"
41,Hiration,169.2K,-37.7K,-18.2%,"Resume & Cover Letter, AI Productivity Tools, Writing Assistants"
42,Docus - AI-Powered Health Platform,168K,19.4K,13.0%,Healthcare
43,Mobicip Parental Control App,166.9K,-40.3K,-19.4%,"Parenting, AI Customer Service Assistant"
44,My CV Creator,164.2K,-2.1K,-1.3%,"Resume & Cover Letter, AI Documents Assistant"
45,ChefGPT,150.9K,71.4K,90.0%,AI Cooking Assistant
46,Wonderplan,149.9K,-82.8K,-35.6%,"AI Trip Planner, Life Assistant"
47,Trip Planner AI,144.7K,-34K,-19.0%,"AI Trip Planner, Life Assistant"
48,Magisterium AI,132.7K,-45.4K,-25.5%,"Religion, AI Chatbot"
49,LinkSquares,127.5K,-16.2K,-11.3%,"AI Contract Management, Legal Assistant"
50,SermonAI,124.9K,71.2K,132.7%,Religion
