排名,工具名稱,每月訪問量,增長,增長率,標籤
1,ChatGPT,3.7B,-101M,-2.7%,"Large Language Models (LLMs), AI Chatbot"
2,Open AI o3,556.2M,9.6M,1.8%,"Large Language Models (LLMs), Research Tools"
3,Gemini - Google Vids AI,261.5M,-13.4M,-4.9%,"Large Language Models (LLMs), AI Chatbot"
4,Claude AI,73.8M,-13.8M,-15.7%,"AI Chatbot, Large Language Models (LLMs)"
5,Kimi Chat,37.6M,5.5M,17.0%,"AI Chatbot, Large Language Models (LLMs)"
6,SpicyChat,36.3M,4.4M,13.8%,"AI Chatbot, NSFW, AI Character"
7,Outlier,29.7M,6M,25.4%,"Large Language Models (LLMs), AI Developer Tools"
8,Poe,28.1M,-3.7M,-11.5%,"AI Chatbot, Multi-purpose Tools"
9,OpenAI o1 in the API,27.8M,-4.9M,-15.0%,"Large Language Models (LLMs), AI Code Assistant"
10,CrushOn.AI,16.4M,1.8M,12.5%,"NSFW, AI Character"
11,Google Gemini 2.0-重复产品,11.3M,4.7M,72.3%,"Large Language Models (LLMs), AI Developer Tools"
12,Google Android XR,11.3M,4.7M,72.3%,"Other, Large Language Models (LLMs)"
13,Monica - Your ChatGPT AI Assistant Chrome Extension,10M,318.6K,3.3%,"AI Chatbot, Multi-purpose Tools"
14,Meta AI,9.2M,1.9M,26.8%,"Large Language Models (LLMs), Multi-purpose Tools"
15,Joyland,7.9M,3M,63.1%,"AI Character, NSFW"
16,Chub,7.5M,-80.5K,-1.1%,"AI Character, NSFW"
17,Home Assistant,7.5M,1.2M,20.1%,Multi-purpose Tools
18,Microsoft Phi-4,6.7M,-497K,-6.9%,"Large Language Models (LLMs), AI Code Assistant"
19,Mistral AI,6.2M,1.7M,36.3%,"Large Language Models (LLMs), AI Code Assistant, AI Developer Tools"
20,You.com,5.5M,-773.4K,-12.4%,"AI Search Engine, Large Language Models (LLMs)"
21,HPE GreenLake AI/ML,5.2M,-303.8K,-5.5%,"Large Language Models (LLMs), AI Code Assistant, AI DevOps Assistant"
22,Gemma,4.8M,1.8M,58.0%,"Large Language Models (LLMs), AI Code Generator"
23,SeducedAI,4.7M,813.5K,20.8%,"NSFW, AI Video Generator"
24,Gemini 2.0 Flash Thinking,4.6M,3.2M,233.7%,"Large Language Models (LLMs), AI Chatbot, AI Code Assistant"
25,Yeschat,4.3M,325.2K,8.1%,"Multi-purpose Tools, Large Language Models (LLMs)"
26,HIX.AI,4M,-585.5K,-12.7%,"Writing Assistants, Multi-purpose Tools"
27,Imarena.AI,3.7M,486.8K,15.3%,"Large Language Models (LLMs), AI Chatbot, AI Tools Directory"
28,FlowGPT,3.7M,454.4K,14.2%,"Prompts, Multi-purpose Tools"
29,ChatGLM,3.6M,-340K,-8.6%,"Large Language Models (LLMs), AI Chatbot"
30,OpenRouter,2.9M,880.9K,43.1%,"AI Tools Directory, Large Language Models (LLMs)"
31,Aura,2.8M,131.7K,4.9%,Multi-purpose Tools
32,Moises App,2.7M,-44.4K,-1.6%,"Multi-purpose Tools, AI Music Generator, Audio Enhancer"
33,GPT Engineer,2.5M,2M,460.8%,"AI Website Designer, Other, AI Code Generator, AI Developer Tools, AI App Builder, AI Landing Page Builder, AI Website Builder, AI Code Assistant"
34,TinyWow,2.3M,-214.4K,-8.4%,"Multi-purpose Tools, AI Documents Assistant"
35,Chad AI | ChatGPT на русском,2.2M,-80.7K,-3.5%,"Translate, Multi-purpose Tools"
36,Chai,2.2M,290.4K,15.3%,"AI Chatbot, Large Language Models (LLMs)"
37,Icons8,2.2M,-103.2K,-4.5%,"AI Art &Design Creator, Multi-purpose Tools"
38,Anakin.ai,1.8M,70.5K,4.1%,"No-Code & Low-Code, Multi-purpose Tools, Large Language Models (LLMs)"
39,AnimeGenius - Anime AI Generator,1.7M,-264.6K,-13.2%,"AI Anime & Comic, NSFW"
40,Vondy: Next Generation AI Apps,1.7M,590.6K,51.6%,"Multi-purpose Tools, Large Language Models (LLMs)"
41,Abacus.AI,1.7M,50K,3.0%,"AI Chatbot, Large Language Models (LLMs), AI Customer Service Assistant"
42,DreamGF.ai,1.6M,-56.8K,-3.4%,"AI Girlfriend, NSFW"
43,Llama,1.5M,349.2K,29.4%,Large Language Models (LLMs)
44,Tencent Yuanbao,1.5M,257.1K,20.7%,"Multi-purpose Tools, AI Chatbot"
45,NSFWLover,1.5M,1M,228.8%,"NSFW, AI Chatbot"
46,ChatUp AI,1.5M,137.3K,10.2%,"AI Chatbot, Multi-purpose Tools"
47,AIPRM,1.5M,-176.9K,-10.8%,"Prompts, Multi-purpose Tools"
48,Groq,1.4M,55K,4.2%,Large Language Models (LLMs)
49,Ask AI - AI Powered Chat Bot Assistant,1.3M,-986.9K,-42.7%,"AI Chatbot, Multi-purpose Tools"
50,Easy With AI - Best AI Tools & Services,1.3M,-104.7K,-7.6%,"AI Tools Directory, Multi-purpose Tools"
