排名,工具名稱,每月訪問量,增長,增長率,標籤
1,Zoho Cliq,59.8M,-605.1K,-1.0%,"AI Team Collaboration, AI Meeting Assistant, AI Files Assistant"
2,AI PDF Summarizer,45.1M,-2M,-4.3%,"AI PDF, Summarizer, AI Productivity Tools"
3,Miro,24.5M,-6.3M,-20.4%,"AI Team Collaboration, Workflow & SOP Management"
4,LINER,22M,-2.2M,-9.3%,AI Productivity Tools
5,Gamma,18.1M,-2.9M,-13.9%,AI Presentation Generator
6,Google NotebookLM Plus,11.3M,4.7M,72.3%,AI Documents Assistant
7,NotebookLM,10M,772.2K,8.4%,"AI Notes Assistant, AI Knowledge Management, Research Tools"
8,SLIDESGO,9.3M,-4M,-30.0%,"AI Presentation Generator, AI Tutorial"
9,Zapier,7.2M,-14.9K,-0.2%,"AI Productivity Tools, AI Task Management, AI Team Collaboration"
10,Otter.ai,5.9M,-725K,-11.0%,"AI Meeting Assistant, AI Recording &Summarizer"
11,MaxAI.me,5.5M,-704.7K,-11.3%,AI Productivity Tools
12,Sider,5.3M,-477.1K,-8.2%,"AI Productivity Tools, Writing Assistants, AI Browsers Builder"
13,Knowt,4.6M,1.4M,42.5%,"AI Quizzes, AI Notes Assistant"
14,ChatPDF,4.1M,-1.6M,-28.1%,"AI PDF, AI Chatbot"
15,NoteGPT,4M,86.7K,2.2%,"Summarizer, AI Notes Assistant"
16,Notta,3.9M,-606.3K,-13.5%,"AI Notes Assistant, AI Recording &Summarizer"
17,EasySBC,3.8M,-300K,-7.4%,AI Team Collaboration
18,Napkin,3.7M,-579.6K,-13.7%,"AI Diagram Generator, AI Graphic Design, AI Presentation Generator"
19,Glasp,3M,-182.8K,-5.8%,"AI Notes Assistant, AI Knowledge Management"
20,Coda,3M,-398.2K,-11.8%,"AI Documents Assistant, Workflow & SOP Management"
21,Tactiq.io,2.8M,-794.9K,-22.0%,"AI Meeting Assistant, AI Notes Assistant"
22,PDF Editor,2.5M,-157.7K,-5.8%,"AI PDF, Text to Speech, AI Files Assistant"
23,MagicSchool AI,2.4M,-835.5K,-25.9%,"AI Education Assistant, AI Task Management"
24,TinyWow,2.3M,-214.4K,-8.4%,"Multi-purpose Tools, AI Documents Assistant"
25,Fathom,2.3M,170.7K,8.2%,"AI Meeting Assistant, AI Recording &Summarizer"
26,Hailuo AI,2.2M,-298.6K,-11.9%,"Text to Video, AI Video Editing, AI Productivity Tools"
27,Fillout.com,2.1M,-132.8K,-6.0%,"AI Forms & Surveys, No-Code & Low-Code"
28,Goodnotes,2M,29K,1.5%,"AI Notes Assistant, AI Documents Assistant"
29,Read AI for Gmail,2M,-292.9K,-13.0%,"AI Email Marketing, AI Meeting Assistant"
30,Krisp,1.8M,216.2K,13.3%,"AI Noise Cancellation, AI Recording &Summarizer"
31,Superhuman Email,1.8M,23.9K,1.3%,"AI Email Writer, AI Task Management"
32,LANDR: Creative Tools for Musicians,1.8M,94.8K,5.5%,"AI Music Generator, AI Recording &Summarizer"
33,forms app,1.8M,-126.4K,-6.6%,"AI Forms & Surveys, No-Code & Low-Code"
34,Resume Worded,1.7M,-291.8K,-14.7%,"Resume & Cover Letter, AI Documents Assistant"
35,Fireflies.ai,1.7M,-232K,-12.1%,"AI Meeting Assistant, AI Recording &Summarizer"
36,Presentations.AI,1.6M,-137.1K,-7.8%,AI Presentation Generator
37,MyMap.AI,1.5M,-108.4K,-6.7%,"AI Mind Mapping, AI Presentation Generator"
38,ChatOn,1.3M,216.9K,19.4%,"AI Chatbot, Writing Assistants, AI Productivity Tools"
39,Mapify,1.3M,-155.3K,-10.4%,"AI Mind Mapping, AI Documents Assistant"
40,Beautiful.ai,1.3M,-190.6K,-12.6%,"AI Presentation Generator, AI Graphic Design"
41,Crisp,1.3M,-5.9K,-0.5%,"AI Customer Service Assistant, AI Team Collaboration, AI Knowledge Management"
42,tl;dv,1.3M,-23K,-1.8%,"AI Meeting Assistant, AI Recording &Summarizer"
43,AskYourPDF,1.2M,-135.7K,-10.5%,"AI PDF, AI Chatbot"
44,ScreenApp,1.1M,-173K,-13.9%,"AI Recording &Summarizer, AI Notes Assistant"
45,Reclaim AI,1M,26.4K,2.7%,"AI Scheduling, AI Task Management"
46,Algor Education,999.4K,-653.5K,-39.5%,"AI Mind Mapping, AI Notes Assistant"
47,ResumeBuilder.com,911.4K,-240.7K,-20.9%,"Resume & Cover Letter, AI Documents Assistant"
48,GizAI,863.7K,-75.2K,-8.0%,AI Productivity Tools
49,AIFreeBox,853.5K,304.2K,55.4%,"Multi-purpose Tools, AI Productivity Tools"
50,Xmind AI: The Collaborative Mind Mapping Tool,839.5K,-59.8K,-6.7%,"AI Mind Mapping, AI Team Collaboration"
