排名,工具名稱,每月訪問量,增長,增長率,標籤
1,DeepL,191.3M,-16.5M,-7.9%,Translate
2,QuillBot,60.3M,-17.2M,-22.2%,"AI Paraphraser, Summarizer, Writing Assistants"
3,AI PDF Summarizer,45.1M,-2M,-4.3%,"AI PDF, Summarizer, AI Productivity Tools"
4,Doubao PixelDance,31.3M,10.2M,48.3%,"AI Chatbot, Writing Assistants, AI Voice Assistants"
5,ZeroGPT,15.5M,-3.4M,-17.9%,"AI Detector, AI Grammar Checker, AI Email Writer"
6,Perchance AI,12.8M,915.1K,7.7%,"Text to Image, AI Story Writing"
7,TurboScribe,8.9M,724K,8.9%,"Transcription, AI Speech Recognition, AI Speech Synthesis"
8,Zeemo AI,5.7M,1.6M,39.1%,"Captions or Subtitle, Translate"
9,Sider,5.3M,-477.1K,-8.2%,"AI Productivity Tools, Writing Assistants, AI Browsers Builder"
10,Undetectable AI,4.8M,-1M,-17.3%,"AI Detector, AI Rewriter"
11,Japanese AI Novelist,4.1M,-328.9K,-7.4%,"AI Novel Writing, Creative Writing"
12,HIX.AI,4M,-585.5K,-12.7%,"Writing Assistants, Multi-purpose Tools"
13,NoteGPT,4M,86.7K,2.2%,"Summarizer, AI Notes Assistant"
14,NovelAI - The AI Storyteller,3.6M,313.7K,9.5%,"AI Story Writing, AI Illustration Generator"
15,HitPaw Edimakor,3.3M,513K,18.4%,"AI Video Editing, AI Script Writing"
16,Songtell,3.1M,763.8K,33.1%,AI Lyrics Generator
17,OpusClip Captions,2.9M,177.7K,6.4%,"AI Video Editing, Captions or Subtitle"
18,Stealthwriter,2.9M,-611.8K,-17.3%,"AI Rewriter, AI Paraphraser"
19,Smodin,2.9M,-986.7K,-25.5%,"Writing Assistants, AI Essay Writing, AI Rewriter"
20,Immersive Translate,2.7M,47.9K,1.8%,"Translate, AI Web Scraper"
21,Genspark,2.6M,585K,28.9%,"AI Search Engine, Summarizer"
22,AI Dungeon,2.4M,126.4K,5.6%,"AI Story Writing, AI Script Writing"
23,WriteHuman: Undetectable AI and AI Humanizer,2.4M,-214.4K,-8.3%,"AI Rewriter, AI Content Detector"
24,xoul.ai,2.3M,1.2M,102.9%,"AI Character, AI Story Writing"
25,Chad AI | ChatGPT на русском,2.2M,-80.7K,-3.5%,"Translate, Multi-purpose Tools"
26,Humanize AI Text,2.2M,-244.7K,-10.2%,"AI Rewriter, AI Content Detector"
27,Caveduck,2.2M,152.9K,7.7%,"AI Story Writing, AI Social Media Assistant"
28,Felo,2.1M,111.2K,5.5%,"Translate, AI Chatbot"
29,Captions,2M,259K,15.1%,"AI Video Editing, Captions or Subtitle"
30,Fliki,2M,91.5K,4.9%,"AI Script Writing, Text to Video"
31,Museland AI,1.9M,137.2K,7.7%,"AI Story Writing, AI Character"
32,Happy Scribe,1.9M,-357.2K,-15.8%,"Transcription, Translate"
33,Superhuman Email,1.8M,23.9K,1.3%,"AI Email Writer, AI Task Management"
34,Wordtune,1.8M,-144.3K,-7.6%,"AI Rewriter, AI Paraphraser"
35,SubEasy.ai,1.7M,1.6M,New,"Transcription, Translate, Captions or Subtitle"
36,Easy-Peasy.AI,1.7M,-214K,-11.2%,Writing Assistants
37,What Beats Rock Game,1.7M,-700.4K,-29.6%,"Creative Writing, Fun Tools"
38,"OpenL - Amazing Translator, powered by AI",1.6M,95.2K,6.5%,"Translate, AI Grammar Checker"
39,Writesonic,1.5M,-33.2K,-2.1%,"AI Blog Writer, AI SEO Tools, AI Chatbot"
40,Neural Writer,1.4M,-619.3K,-30.9%,"AI Rewriter, AI Paraphraser"
41,ChatOn,1.3M,216.9K,19.4%,"AI Chatbot, Writing Assistants, AI Productivity Tools"
42,AI Summarizer,1.3M,-273K,-17.6%,Summarizer
43,Mureka,1.2M,757.6K,155.7%,"AI Lyrics Generator, AI Music Generator"
44,Brev.ai,1.2M,257.2K,27.3%,"AI Music Generator, Text to Music, AI Lyrics Generator"
45,Humbot,1.1M,-945.3K,-45.2%,"AI Rewriter, Writing Assistants, AI Content Detector"
46,Humbot,1.1M,-945.3K,-45.2%,"AI Rewriter, AI Content Detector"
47,DreamPress,1.1M,-272.7K,-19.3%,"AI Story Writing, Creative Writing, AI Novel Writing"
48,DREAMPRESS,1.1M,-272.7K,-19.3%,"AI Story Writing, Creative Writing"
49,Sapling,1.1M,-34.9K,-3.0%,"AI Email Writer, AI Customer Service Assistant, AI CRM Assistant"
50,Lingvanex,1.1M,-89.7K,-7.4%,Translate
