排名,工具名稱,每月訪問量,增長,增長率,標籤
1,AI Clips - New Gen,30.3B,1.8B,6.2%,"AI Short Clips Generator, AI Video Editing"
2,CapCut,38.8M,-1.1M,-2.8%,"AI Video Editing, Text to Speech"
3,Hailuo AI Video Generator,26.7M,10.7M,67.1%,"AI Video Generator, Text to Video, AI Short Clips Generator"
4,Sora - Sora Turbo,21.2M,21.2M,New,"AI Video Generator, Text to Video"
5,DeepAI,16.1M,632.8K,4.1%,"AI Art &Design Creator, AI Video Generator"
6,Kling AI 1.6 - Global,11.8M,2.4M,25.6%,"AI Video Generator, AI Video Editing"
7,VEED,11.5M,-112.6K,-1.0%,"AI Video Editing, AI Video Enhancing, AI Video Recording"
8,Deep Nostalgia,11.4M,620.5K,5.7%,"AI Photo & Image Generator, AI Video Generator"
9,InVideo,10.2M,124.5K,1.2%,"AI Video Generator, AI Video Editing"
10,Clipchamp,8.5M,-267.3K,-3.0%,"AI Video Editing, Text to Speech, AI Video Enhancing"
11,AI Face Swap,8M,251.4K,3.2%,"AI Face Swap Generator, AI Video Editing"
12,Vidnoz,6M,-477.2K,-7.3%,"AI Video Generator, Text to Speech, AI Avatar Generator"
13,PixVerse V3.5,6M,-386K,-6.0%,"Text to Video, AI Video Generator, Image to Video"
14,Peloton,6M,-201.7K,-3.3%,"Sports & Fitness, AI Video Generator"
15,FlexClip,5.9M,136.7K,2.4%,"AI Video Editing, AI Video Generator"
16,Artlist,5.9M,-294K,-4.8%,"AI Music Generator, AI Video Editing"
17,Vidu 1.5,5.7M,-1.1M,-16.3%,"Image to Video, Text to Video, AI Video Editing"
18,Krea AI,5.6M,-360.9K,-6.0%,AI Video Editing
19,Luma AI Dream Machine 1.6: Luma Photon,5.6M,-1.1M,-16.3%,"Text to Video, AI Video Generator"
20,Remaker AI,5.1M,-521.7K,-9.3%,"AI Face Swap Generator, AI Video Enhancing"
21,SeducedAI,4.7M,813.5K,20.8%,"NSFW, AI Video Generator"
22,Google Veo 2,4.6M,3.2M,233.7%,"AI Video Generator, AI Video Enhancing"
23,Haiper AI,4.3M,285.8K,7.1%,"Text to Video, AI Video Editing"
24,Kapwing,4.3M,188K,4.6%,"Photo & Image Editor, AI Video Editing, Voice & Audio Editing"
25,Kapwing,4.3M,188K,4.6%,"AI Video Editing, AI Video Enhancing"
26,HeyGen,4M,118.7K,3.0%,"AI Video Generator, Text to Video"
27,Opus Clip,3.6M,-105.3K,-2.9%,"AI Video Editing, AI Repurpose Assistant"
28,HitPaw Video Enhancer,3.3M,513K,18.4%,AI Video Enhancing
29,HitPaw Edimakor,3.3M,513K,18.4%,"AI Video Editing, AI Script Writing"
30,HitPaw Official,3.3M,513K,18.4%,AI Video Editing
31,Pika 2.0,3.3M,-1.8M,-36.2%,"AI Video Generator, AI Video Editing, Text to Video"
32,OpusClip Captions,2.9M,177.7K,6.4%,"AI Video Editing, Captions or Subtitle"
33,Descript,2.8M,-3.9K,-0.1%,AI Video Editing
34,AnyEnhancer,2.7M,-43.2K,-1.6%,"AI Video Enhancing, Photo & Image Enhancer, AI Photo Restoration"
35,Pollo AI,2.7M,1.4M,113.6%,"AI Video Generator, Text to Video, AI Video Editing"
36,Synthesia,2.6M,363.3K,15.9%,"AI Video Generator, Text to Video"
37,Topaz Labs,2.5M,282.6K,12.8%,"Photo & Image Enhancer, AI Video Editing, AI Photography"
38,Pictory,2.4M,509.2K,26.5%,"AI Video Generator, AI Video Editing"
39,VIGGLE,2.3M,188K,8.7%,"Image to Video, AI Video Editing, AI Video Generator"
40,BasedLabs.ai,2.3M,-50.5K,-2.2%,"AI Photo & Image Generator, AI Video Generator"
41,Hailuo AI,2.2M,-298.6K,-11.9%,"Text to Video, AI Video Editing, AI Productivity Tools"
42,Captions,2M,259K,15.1%,"AI Video Editing, Captions or Subtitle"
43,Fliki,2M,91.5K,4.9%,"AI Script Writing, Text to Video"
44,Animaker ai,1.9M,-96.4K,-4.8%,"AI Video Editing, AI Video Generator"
45,Fal AI,1.9M,39.5K,2.1%,"Text to Image, AI Photo & Image Generator, AI Video Editing"
46,PromeAI,1.9M,-269.6K,-12.4%,"AI Photo & Image Generator, AI Video Editing, AI Art &Design Creator"
47,Submagic,1.8M,-5.3M,-74.6%,"AI Short Clips Generator, AI Video Generator"
48,Magic Hour,1.7M,-63K,-3.6%,"AI Video Generator, AI Video Editing"
49,Nero Software,1.6M,229.8K,16.6%,AI Video Editing
50,Simplified,1.6M,-150.2K,-8.7%,"AI Graphic Design, AI Video Editing, AI Social Media Assistant"
